Zeilenbeschriftungen;Summe von Wohnort;Summe von Einpendler;Summe von Auspendler;Landkreis  
09565;17027;11330;11426;Schwabach
09571;80586;42194;60037;Ansbach
09572;60180;41451;48395;Erlangen-Höchstadt
09573;49852;19213;43385;Fürth
09574;71938;40669;58099;Nürnberger Land
09575;43825;23607;33480;Neustadt a.d.Aisch-Bad Windsheim
09576;54573;27252;41591;Roth
09577;39534;21092;27505;Weißenburg-Gunzenhausen
09661;29410;33171;15571;Aschaffenburg
09662;20702;40764;7574;Schweinfurt
09663;52980;58241;19070;Würzburg
09671;73090;41657;61370;Aschaffenburg
09672;42156;24289;30938;Bad Kissingen
09673;33776;24755;25728;Rhön-Grabfeld
09674;36419;20666;28559;Haßberge
09675;39122;24574;29582;Kitzingen
09676;54139;35420;45233;Miltenberg
09677;54795;33389;40613;Main-Spessart
09678;49719;20671;43777;Schweinfurt
09679;67740;32217;59779;Würzburg
09761;123488;75198;51263;Augsburg
09762;18121;9970;8978;Kaufbeuren
09763;28813;21568;13212;Kempten (Allgäu)
09764;18780;19756;7384;Memmingen
09771;56512;26236;45695;Aichach-Friedberg
09772;105432;60821;88760;Augsburg
09773;42008;23694;31289;Dillingen a.d.Donau
09774;56716;39560;42453;Günzburg
09775;76747;49485;59264;Neu-Ulm
09776;32549;21627;21196;Lindau (Bodensee)
09777;58258;32572;41622;Ostallgäu
09778;62803;38802;49208;Unterallgäu
09779;59334;45329;41979;Donau-Ries
09780;64723;37742;46810;Oberallgäu
10041;119924;102640;69477;Regionalverband Saarbrücken
10042;34709;20717;23786;Merzig-Wadern
10043;50227;28447;38838;Neunkirchen
10044;74570;57413;59033;Saarlouis
10045;55046;48880;37587;Saarpfalz-Kreis
10046;33846;18871;25398;St. Wendel
11000;1380329;333859;187147;Berlin, Stadt
12051;27528;11988;9860;Brandenburg an der Havel, Stadt
12052;37295;22027;13174;Cottbus, Stadt
12053;21376;14167;6854;Frankfurt (Oder), Stadt
12054;72042;49621;35557;Potsdam, Stadt
12060;74388;32839;56721;Barnim
12061;69994;49515;56665;Dahme-Spreewald
12062;39873;21767;28402;Elbe-Elster
12063;66003;30442;51435;Havelland
12064;76953;38347;64025;Märkisch-Oderland
12065;85618;39238;66939;Oberhavel
12066;42799;27608;29397;Oberspreewald-Lausitz
12067;70168;36390;50447;Oder-Spree
12068;38477;18920;22074;Ostprignitz-Ruppin
12069;86625;46168;71132;Potsdam-Mittelmark
12070;29271;15947;18074;Prignitz
12071;44121;22835;30315;Spree-Neiße
12072;71943;47202;54218;Teltow-Fläming
12073;43216;19909;23752;Uckermark
13003;80987;34543;23031;Rostock
13004;35723;25668;10561;Schwerin
13071;97822;52184;56231;Mecklenburgische Seenplatte
13072;83784;48894;63589;Landkreis Rostock
13073;84562;43372;52440;Vorpommern-Rügen
13074;63363;30599;45224;Nordwestmecklenburg
13075;86999;48069;52393;Vorpommern-Greifswald
13076;88315;43891;66787;Ludwigslust-Parchim
14511;93044;51919;27847;Chemnitz, Stadt
14521;132730;77656;94674;Erzgebirgskreis
14522;122217;74210;86536;Mittelsachsen
14523;88510;50152;57180;Vogtlandkreis
14524;127402;81067;83130;Zwickau
14612;228999;96812;56466;Dresden, Stadt
14625;120193;79996;86564;Bautzen
14626;92487;53905;59434;Görlitz
14627;96601;62584;68851;Meißen
14628;98695;53231;71706;Sächsische Schweiz-Osterzgebirge
14713;240794;97724;65824;Leipzig, Stadt
14729;104375;55321;80886;Leipzig
14730;81917;50688;58295;Nordsachsen
15001;30079;13304;9967;Dessau-Roßlau, Stadt
15002;87170;40785;30783;Halle (Saale), Stadt
15003;93708;44133;29368;Magdeburg, Landeshauptstadt
15081;35297;12884;20927;Altmarkkreis Salzwedel
15082;61469;32044;39023;Anhalt-Bitterfeld
15083;73639;42736;54545;Börde
15084;72645;36523;49807;Burgenlandkreis
15085;84459;38489;51070;Harz
15086;35888;16277;24481;Jerichower Land
15087;50105;26025;34254;Mansfeld-Südharz
15088;76706;52964;60466;Saalekreis
15089;72219;34584;44694;Salzlandkreis
15090;42749;18964;26162;Stendal
15091;50701;20062;27861;Wittenberg
16051;85272;47698;24244;Erfurt, Stadt
16052;34636;15532;13477;Gera, Stadt
16053;42334;26448;11378;Jena, Stadt
16054;13896;8472;6439;Suhl, Stadt
16055;23825;12280;11757;Weimar, Stadt
16056;17002;12469;7032;Eisenach, Stadt
16061;42128;24063;29912;Eichsfeld
16062;32381;16323;18696;Nordhausen
16063;48738;27848;37219;Wartburgkreis
16064;41350;20270;25701;Unstrut-Hainich-Kreis
16065;28285;10572;18665;Kyffhäuserkreis
16066;52252;27026;34867;Schmalkalden-Meiningen
16067;56688;33424;39716;Gotha
16068;27230;16990;20444;Sömmerda
16069;28012;11978;20190;Hildburghausen
16070;42638;21426;25434;Ilm-Kreis
16071;34249;17390;25533;Weimarer Land
16072;24170;12862;15733;Sonneberg
16073;40789;20163;26119;Saalfeld-Rudolstadt
16074;34267;19978;27036;Saale-Holzland-Kreis
16075;33979;20428;23771;Saale-Orla-Kreis
16076;38028;19509;27151;Greiz
16077;33883;17742;23782;Altenburger Land
