Nr;Gemeinde;Wohnort;  Männer  ;  Frauen  ; Deutsche ;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;"Wohnort
gleich
Arbeitsort";Einpendler;Auspendler;"Zahl 
der 
Betriebe";;;
09773186;Ziertheim;351;197;154;337;14;14;33;71;137;17;120;334;19;;;
09773187;Zöschingen;307;167;140;292;14;12;18;95;114;20;94;287;10;;;
09773188;Zusamaltheim;582;322;260;556;26;27;63;107;129;32;97;550;19;;;
;;;;;;;;;;;;;;;;;
09773;Dillingen a.d.Donau;42,008;23,229;18,779;37,780;4,225;1,748;3,819;8,758;34,429;24,947;9,465;17,060;2,409;;;
;;;;;;;;;;;;;;;;;
09774111;Aletshausen;511;302;209;490;21;30;45;103;193;39;154;472;24;;;
09774115;Balzhausen;595;324;271;552;43;25;69;123;453;88;365;507;32;;;
09774116;Ursberg;1,323;721;602;1,253;70;51;161;337;4,076;552;3,523;771;41;;;
09774117;Breitenthal;560;298;262;542;18;25;55;129;102;33;69;527;28;;;
09774118;Bubesheim;673;370;303;572;101;24;65;136;436;61;375;612;34;;;
09774119;Bibertal;2,220;1,208;1,012;2,019;201;80;190;494;509;187;319;2,033;96;;;
09774121;Burgau, Stadt;4,508;2,456;2,052;3,714;793;154;396;877;4,657;1,449;3,201;3,059;349;;;
09774122;Burtenbach, Markt;1,595;889;706;1,364;230;63;166;335;1,478;368;1,110;1,227;88;;;
09774124;Deisenhausen;673;364;309;658;15;37;65;147;215;48;167;625;35;;;
09774127;Dürrlauingen;703;386;317;652;50;42;72;154;433;81;352;622;21;;;
09774129;Ebershausen;264;151;113;259;5;10;29;55;36;13;23;251;12;;;
09774133;Ellzee;537;297;240;516;21;22;52;125;164;24;140;513;26;;;
09774135;Günzburg, Stadt;9,116;4,970;4,146;7,133;1,982;255;794;1,815;13,470;3,838;9,626;5,278;725;;;
09774136;Gundremmingen;620;363;257;571;49;25;52;131;1,201;137;1,064;483;42;;;
09774140;Haldenwang;883;468;415;816;67;36;84;178;194;49;145;834;38;;;
09774143;Ichenhausen, Stadt;4,071;2,285;1,786;3,109;960;164;375;759;2,927;1,004;1,923;3,067;205;;;
09774144;Jettingen-Scheppach, Markt;3,167;1,791;1,376;2,690;474;105;355;595;3,560;848;2,710;2,319;211;;;
09774145;Kammeltal;1,497;829;668;1,425;72;80;124;319;480;139;341;1,358;67;;;
09774148;Kötz;1,524;837;687;1,358;166;68;134;276;1,391;220;1,171;1,304;65;;;
09774150;Krumbach (Schwaben), Stadt;5,679;3,123;2,556;4,605;1,071;207;507;1,162;6,282;2,398;3,878;3,281;430;;;
09774151;Landensberg;389;228;161;321;68;26;37;71;67;51;16;338;13;;;
09774155;Leipheim, Stadt;3,377;1,990;1,387;2,430;941;118;307;619;4,088;870;3,216;2,507;189;;;
09774160;Münsterhausen, Markt;958;538;420;865;93;43;89;189;220;55;164;903;33;;;
09774162;Neuburg a.d.Kammel, Markt;1,456;809;647;1,352;104;62;121;316;948;253;695;1,203;88;;;
09774166;Aichen;515;289;226;498;16;21;52;109;224;42;182;473;26;;;
09774171;Offingen, Markt;1,988;1,086;902;1,732;256;71;165;422;1,408;320;1,087;1,668;95;;;
09774174;Rettenbach;778;408;370;716;62;30;69;192;362;56;306;722;25;;;
09774178;Röfingen;530;296;234;477;53;19;45;126;223;37;185;493;29;;;
09774185;Thannhausen, Stadt;2,867;1,540;1,327;2,246;620;118;286;561;2,491;653;1,838;2,214;204;;;
09774189;Wiesenbach;488;277;211;481;7;34;43;101;116;48;68;440;16;;;
09774191;Waldstetten, Markt;561;311;250;523;38;29;56;108;322;44;278;517;26;;;
09774192;Waltenhausen;331;187;144;321;10;9;39;69;44;13;31;318;14;;;
09774196;Winterbach;354;200;154;348;6;9;36;82;51;15;36;339;12;;;
09774198;Ziemetshausen, Markt;1,405;804;601;1,274;131;72;151;276;1,034;230;802;1,175;86;;;
;;;;;;;;;;;;;;;;;
09774;Günzburg;56,716;31,395;25,321;47,882;8,814;2,164;5,286;11,491;53,855;38,430;15,393;18,286;3,425;;;
;;;;;;;;;;;;;;;;;
09775111;Altenstadt, Markt;2,304;1,329;975;2,033;269;89;239;463;1,618;416;1,201;1,888;126;;;
09775115;Bellenberg;1,965;1,116;849;1,792;173;63;151;458;1,250;173;1,077;1,792;75;;;
09775118;Buch, Markt;1,873;1,071;802;1,711;162;88;149;385;1,094;270;820;1,603;96;;;
09775126;Holzheim;882;468;414;807;75;25;65;177;120;46;74;836;30;;;
09775129;Illertissen, Stadt;7,531;4,166;3,365;6,474;1,055;308;718;1,567;7,392;2,243;5,147;5,288;482;;;
09775132;Kellmünz a.d.Iller, Markt;670;379;291;576;94;30;60;153;203;36;166;634;27;;;
09775134;Nersingen;4,171;2,323;1,848;3,533;638;114;355;867;1,863;527;1,335;3,644;186;;;
09775135;Neu-Ulm, Stadt;25,844;14,137;11,707;20,171;5,663;493;2,062;4,821;29,673;7,363;22,290;18,480;1,595;;;
09775139;Elchingen;3,967;2,176;1,791;3,380;586;97;291;897;4,168;601;3,566;3,366;205;;;
09775141;Oberroth;420;235;185;403;17;21;43;57;27;12;15;408;10;;;
09775142;Osterberg;401;219;182;384;17;17;44;78;56;21;35;380;11;;;
09775143;Pfaffenhofen a.d.Roth, Markt;3,066;1,737;1,329;2,852;214;113;253;628;926;320;606;2,746;137;;;
09775149;Roggenburg;1,287;709;578;1,248;39;52;111;250;363;106;256;1,181;50;;;
09775152;Senden, Stadt;10,059;5,548;4,511;7,912;2,143;249;829;2,087;6,452;2,103;4,345;7,956;477;;;
09775161;Unterroth;506;304;202;485;21;29;40;79;85;37;48;469;21;;;
09775162;Vöhringen, Stadt;5,895;3,339;2,556;4,993;899;196;544;1,221;4,843;1,417;3,425;4,478;265;;;
09775164;Weißenhorn, Stadt;5,906;3,307;2,599;5,221;684;187;503;1,275;6,871;1,791;5,079;4,115;405;;;
;;;;;;;;;;;;;;;;;
09775;Neu-Ulm;76,747;42,563;34,184;63,975;12,749;2,171;6,457;15,463;67,004;37,171;29,796;39,575;4,198;;;
;;;;;;;;;;;;;;;;;
09776111;Bodolz;1,076;562;514;909;167;31;70;233;259;57;202;1,019;65;;;
09776112;Gestratz;579;316;263;551;28;26;62;142;153;34;119;545;21;;;
09776113;Grünenbach;585;320;265;555;30;29;60;107;196;62;134;523;35;;;
09776114;Heimenkirch, Markt;1,585;863;722;1,397;187;54;154;342;1,901;411;1,489;1,174;83;;;
09776115;Hergensweiler;791;411;380;727;64;24;77;175;627;115;510;676;67;;;
09776116;Lindau (Bodensee), Stadt;9,425;4,799;4,626;7,104;2,316;252;768;2,001;13,086;5,542;7,533;3,883;1,088;;;
09776117;Lindenberg i.Allgäu, Stadt;5,219;2,802;2,417;4,301;916;157;479;1,110;7,203;2,504;4,692;2,715;336;;;
09776118;Maierhöfen;565;308;257;539;26;22;60;111;363;74;289;491;42;;;
09776120;Nonnenhorn;630;315;315;531;99;18;37;147;318;120;197;510;66;;;
09776121;Oberreute;666;353;313;606;60;28;59;140;128;64;63;602;37;;;
09776122;Opfenbach;899;471;428;823;76;43;101;167;654;131;523;768;55;;;
09776124;Röthenbach (Allgäu);844;453;391;776;68;36;98;161;745;136;609;708;57;;;
09776125;Scheidegg, Markt;1,700;846;854;1,512;188;62;140;392;1,769;495;1,273;1,205;133;;;
09776126;Sigmarszell;1,121;580;541;1,026;94;41;92;214;458;124;334;997;93;;;
09776127;Stiefenhofen;789;406;383;759;30;58;89;145;322;111;211;678;48;;;
09776128;Wasserburg (Bodensee);1,346;657;689;1,158;188;36;101;288;1,070;299;770;1,047;140;;;
09776129;Weiler-Simmerberg, Markt;2,713;1,455;1,258;2,350;363;104;281;577;2,550;880;1,668;1,833;138;;;
09776130;Weißensberg;1,036;547;489;910;125;38;90;229;847;118;728;918;81;;;
09776131;Hergatz;980;525;455;912;68;32;81;215;359;76;283;904;58;;;
;;;;;;;;;;;;;;;;;
09776;Lindau (Bodensee);32,549;16,989;15,560;27,446;5,093;1,091;2,899;6,896;33,008;22,406;10,574;10,143;2,643;;;
;;;;;;;;;;;;;;;;;
09777111;Aitrang;828;470;358;801;27;45;73;162;327;90;237;738;55;;;
09777112;Biessenhofen;1,669;921;748;1,547;121;70;153;344;1,619;286;1,333;1,383;99;;;
09777114;Baisweil;524;309;215;504;20;32;56;105;134;61;72;463;30;;;
09777118;Bidingen;780;439;341;761;19;45;79;175;130;65;65;715;34;;;
09777121;Buchloe, Stadt;5,727;3,107;2,620;4,842;884;193;469;1,106;5,064;1,574;3,490;4,153;348;;;
09777124;Eggenthal;527;308;219;513;14;30;53;90;267;69;198;458;34;;;
09777125;Eisenberg;477;247;230;453;24;28;46;103;274;71;203;406;38;;;
09777128;Friesenried;653;361;292;617;36;34;67;131;143;52;91;601;47;;;
09777129;Füssen, Stadt;6,177;3,188;2,989;4,581;1,595;196;501;1,303;6,850;3,186;3,655;2,991;659;;;
09777130;Germaringen;1,683;889;794;1,565;118;77;152;334;713;161;551;1,522;109;;;
09777131;Görisried;572;311;261;531;41;35;54;108;289;109;180;463;37;;;
09777135;Hopferau;486;241;245;435;51;28;52;86;196;64;130;422;34;;;
09777138;Günzach;591;321;270;565;26;37;63;132;428;83;344;508;36;;;
09777139;Irsee, Markt;537;268;269;499;38;19;37;101;207;59;148;478;38;;;
09777140;Jengen;1,089;586;503;1,035;54;48;112;226;233;74;159;1,015;52;;;
09777141;Kaltental, Markt;705;393;312;675;30;28;76;149;156;60;96;645;39;;;
09777144;Kraftisried;347;200;147;331;16;24;28;57;253;37;216;310;14;;;
09777145;Lamerdingen;817;458;359;777;40;39;63;153;294;96;198;721;52;;;
09777147;Lechbruck am See;1,057;578;479;957;100;49;110;228;895;309;586;748;100;;;
09777149;Lengenwang;639;373;266;619;20;37;64;103;475;150;325;489;38;;;
09777151;Marktoberdorf, Stadt;7,574;4,235;3,339;6,622;949;334;709;1,536;10,678;3,827;6,844;3,747;565;;;
09777152;Mauerstetten;1,215;641;574;1,130;84;42;114;255;2,140;234;1,904;981;88;;;
09777153;Nesselwang, Markt;1,536;851;685;1,349;187;49;125;298;1,473;456;1,016;1,080;140;;;
09777154;Obergünzburg, Markt;2,646;1,445;1,201;2,505;141;125;235;529;1,264;583;679;2,063;176;;;
09777155;Oberostendorf;569;319;250;531;38;24;44;125;322;70;252;499;45;;;
09777157;Osterzell;310;172;138;286;24;12;30;75;86;33;53;277;22;;;
09777158;Pforzen;951;526;425;878;73;51;88;189;401;94;307;857;64;;;
09777159;Pfronten;3,447;1,833;1,614;3,065;381;124;292;722;4,216;1,687;2,525;1,759;285;;;
09777163;Rieden am Forggensee;551;312;239;471;80;20;53;106;921;164;754;387;53;;;
09777164;Rieden;544;299;245;527;17;22;43;102;125;39;86;505;25;;;
09777165;Ronsberg, Markt;750;445;305;680;70;46;86;151;1,563;270;1,293;480;25;;;
09777166;Roßhaupten;923;474;449;856;67;40;92;189;473;216;256;707;75;;;
09777167;Ruderatshofen;776;438;338;729;47;45;88;143;392;72;320;704;52;;;
09777168;Rückholz;360;195;165;346;14;14;31;65;244;54;190;306;20;;;
09777169;Schwangau;1,391;704;687;1,056;335;46;125;261;1,719;620;1,096;771;166;;;
09777170;Seeg;1,249;670;579;1,185;64;71;134;214;564;272;291;977;89;;;
09777171;Stötten a.Auerberg;789;455;334;770;19;32;97;170;197;86;111;703;44;;;
09777172;Stöttwang;802;430;372;768;34;38;86;179;153;63;90;739;42;;;
09777173;Halblech;1,409;750;659;1,305;104;74;152;283;1,389;550;837;859;104;;;
09777175;Unterthingau, Markt;1,219;682;537;1,170;49;71;123;236;514;146;368;1,073;68;;;
09777176;Untrasried;690;392;298;681;9;37;68;156;175;68;107;622;32;;;
09777177;Waal, Markt;945;511;434;888;57;31;74;192;388;133;255;812;61;;;
09777179;Wald;507;290;217;483;23;29;44;79;165;71;94;436;26;;;
09777182;Westendorf;811;429;382;765;46;46;92;172;372;84;288;727;50;;;
09777183;Rettenbach a.Auerberg;409;237;172;392;17;27;47;67;366;87;279;322;24;;;
;;;;;;;;;;;;;;;;;
09777;Ostallgäu;58,258;31,703;26,555;52,046;6,203;2,544;5,380;11,690;49,247;33,550;15,657;24,707;4,234;;;
;;;;;;;;;;;;;;;;;
09778111;Amberg;690;368;322;621;69;22;60;151;130;46;84;644;29;;;
09778113;Apfeltrach;404;237;167;372;32;22;49;62;85;15;70;389;17;;;
09778115;Babenhausen, Markt;2,497;1,455;1,042;2,139;358;116;247;518;2,807;915;1,892;1,582;184;;;
09778116;Bad Wörishofen, Stadt;6,025;3,277;2,748;4,627;1,395;201;576;1,208;5,878;2,167;3,705;3,858;600;;;
09778118;Benningen;981;543;438;889;92;33;96;235;850;100;750;881;53;;;
09778119;Böhen;304;190;114;275;29;22;42;38;147;49;96;255;21;;;
09778120;Boos;889;492;397;838;51;44;91;192;202;68;134;821;28;;;
09778121;Breitenbrunn;1,007;602;405;971;36;54;110;194;230;119;111;888;54;;;
09778123;Buxheim;1,221;666;555;1,098;123;29;109;230;799;103;696;1,118;54;;;
09778127;Dirlewang, Markt;940;526;414;906;34;44;88;182;268;85;183;855;48;;;
09778130;Egg a.d.Günz;497;294;203;471;25;29;46;99;187;43;144;454;26;;;
09778134;Eppishausen;884;523;361;827;57;43;84;186;394;132;260;752;37;;;
09778136;Erkheim, Markt;1,479;830;649;1,395;84;73;170;300;1,334;318;1,016;1,161;97;;;
09778137;Ettringen;1,528;886;642;1,369;159;68;133;318;858;285;573;1,243;85;;;
09778139;Fellheim;497;282;215;419;78;18;42;107;223;55;168;442;27;;;
09778144;Bad Grönenbach, Markt;2,411;1,307;1,104;2,172;239;88;211;501;2,321;634;1,686;1,777;176;;;
09778149;Hawangen;637;390;247;548;89;42;61;137;846;121;725;516;29;;;
09778150;Heimertingen;773;446;327;713;60;27;72;154;1,064;138;923;635;59;;;
09778151;Holzgünz;624;341;283;560;64;29;47;124;335;49;286;575;18;;;
09778157;Kirchhaslach;585;343;242;564;21;37;53;107;122;45;77;540;26;;;
09778158;Kirchheim i.Schw., Markt;1,175;685;490;1,058;117;60;130;219;1,207;301;904;874;80;;;
09778161;Kronburg;783;426;357;742;41;42;74;177;249;77;172;706;41;;;
09778162;Lachen;787;429;358;749;38;48;80;164;151;34;117;753;26;;;
09778163;Lauben;577;322;255;559;18;39;60;113;150;49;101;528;21;;;
09778164;Lautrach;563;300;263;548;15;18;48;137;676;149;527;414;17;;;
09778165;Legau, Markt;1,432;796;636;1,318;114;82;148;265;1,152;387;764;1,044;91;;;
09778168;Markt Rettenbach, Markt;1,640;946;694;1,575;65;80;159;304;555;235;320;1,405;87;;;
09778169;Markt Wald, Markt;982;584;398;919;63;58;88;190;273;104;169;878;46;;;
09778171;Memmingerberg;1,514;815;699;1,252;261;60;145;291;792;71;719;1,443;82;;;
09778173;Mindelheim, Stadt;6,658;3,732;2,926;5,522;1,136;236;596;1,263;12,228;3,246;8,974;3,412;529;;;
09778177;Niederrieden;652;380;272;602;50;30;71;133;100;32;68;620;29;;;
09778180;Kammlach;829;481;348;780;49;32;90;167;353;59;294;770;28;;;
09778183;Oberrieden;524;333;191;501;23;31;54;92;70;33;37;491;19;;;
09778184;Oberschönegg;466;265;201;452;14;40;42;75;683;83;599;383;16;;;
09778186;Ottobeuren, Markt;3,557;1,978;1,579;3,163;393;142;316;747;2,680;891;1,786;2,666;222;;;
09778187;Pfaffenhausen, Markt;1,178;698;480;962;216;60;134;202;1,559;300;1,258;878;83;;;
09778188;Pleß;390;221;169;350;40;16;33;72;91;26;65;364;25;;;
09778190;Salgen;679;412;267;614;65;41;92;116;376;71;305;608;44;;;
09778196;Sontheim;1,195;683;512;1,128;67;69;130;227;279;77;202;1,118;42;;;
09778199;Stetten;657;385;272;636;21;46;62;119;385;71;314;586;28;;;
09778202;Trunkelsberg;671;379;292;619;52;25;56;148;61;19;42;652;16;;;
09778203;Türkheim, Markt;3,055;1,712;1,343;2,654;399;110;264;626;2,930;812;2,114;2,243;218;;;
09778204;Tussenhausen, Markt;1,368;798;570;1,245;122;53;125;282;596;141;455;1,227;54;;;
09778205;Ungerhausen;464;265;199;430;34;20;39;85;371;26;345;438;26;;;
09778207;Unteregg;569;309;260;542;27;35;54;127;126;50;76;519;31;;;
09778209;Rammingen;722;409;313;640;82;37;74;140;307;120;187;602;36;;;
09778214;Westerheim;1,026;579;447;958;68;55;110;175;279;76;203;950;44;;;
09778216;Wiedergeltingen;622;329;293;592;30;30;59;131;374;80;294;542;48;;;
09778217;Winterrieden;448;256;192;428;20;27;47;104;114;34;80;414;15;;;
09778218;Wolfertschwenden;917;523;394;846;70;46;69;192;3,420;305;3,114;612;57;;;
09778219;Woringen;1,027;572;455;966;60;65;89;194;659;103;555;923;55;;;
09778221;Kettershausen;803;469;334;776;27;34;75;181;107;44;63;759;30;;;
;;;;;;;;;;;;;;;;;
09778;Unterallgäu;62,803;35,469;27,334;55,900;6,892;2,808;6,000;12,501;52,433;33,904;18,491;28,897;3,854;;;
;;;;;;;;;;;;;;;;;
09779111;Alerheim;735;416;319;701;34;39;73;164;343;93;250;642;44;;;
09779112;Amerdingen;379;204;175;360;19;10;31;95;138;34;104;345;20;;;
09779115;Asbach-Bäumenheim;2,269;1,351;918;1,745;523;93;191;411;3,343;522;2,820;1,747;95;;;
09779117;Auhausen;452;264;188;422;30;20;41;102;242;57;185;395;23;;;
09779126;Buchdorf;812;456;356;760;52;31;55;145;546;95;451;717;36;;;
09779129;Daiting;353;203;150;339;14;21;28;79;17;8;9;345;7;;;
09779130;Deiningen;833;449;384;780;53;44;65;165;486;99;387;734;52;;;
09779131;Donauwörth, Stadt;8,665;4,886;3,779;7,059;1,604;313;694;1,599;17,609;4,098;13,501;4,567;748;;;
09779136;Ederheim;514;292;222;497;17;23;58;108;156;62;94;452;27;;;
09779138;Ehingen a.Ries;362;199;163;357;5;13;28;77;54;17;37;345;17;;;
09779146;Forheim;250;156;94;243;7;11;25;54;72;21;50;229;10;;;
09779147;Fremdingen;910;517;393;881;29;54;92;162;589;153;436;757;42;;;
09779148;Fünfstetten;595;345;250;585;10;41;59;105;70;25;45;570;22;;;
09779149;Genderkingen;557;321;236;484;73;23;45;121;403;43;359;514;34;;;
09779154;Hainsfarth;643;343;300;611;32;25;67;145;162;41;121;602;33;;;
09779155;Harburg (Schwaben), Stadt;2,374;1,339;1,035;2,244;129;99;190;508;1,068;416;652;1,958;107;;;
09779162;Hohenaltheim;253;152;101;235;18;12;26;69;53;14;39;239;15;;;
09779163;Holzheim;543;317;226;495;48;26;63;113;732;135;595;408;35;;;
09779167;Huisheim;724;434;290;697;27;30;76;141;100;41;59;683;21;;;
09779169;Kaisheim, Markt;1,383;799;584;1,305;77;55;132;273;407;112;295;1,271;56;;;
09779176;Maihingen;544;315;229;524;20;23;59;111;149;58;91;486;25;;;
09779177;Marktoffingen;579;340;239;572;7;41;50;122;74;21;52;558;20;;;
09779178;Marxheim;1,173;660;513;1,101;72;54;100;280;1,149;283;866;890;32;;;
09779180;Megesheim;401;221;180;394;7;21;49;92;43;23;20;378;11;;;
09779181;Mertingen;1,600;895;705;1,468;132;89;135;336;3,210;462;2,747;1,138;102;;;
09779184;Mönchsdeggingen;630;358;272;605;25;41;63;147;110;42;68;588;31;;;
09779185;Möttingen;1,149;652;497;1,116;33;53;90;263;414;109;305;1,040;67;;;
09779186;Monheim, Stadt;2,338;1,321;1,017;2,169;169;131;209;482;2,961;832;2,128;1,506;126;;;
09779187;Münster;661;387;274;516;145;27;65;122;377;130;246;531;24;;;
09779188;Munningen;773;452;321;755;18;39;80;154;319;43;276;730;31;;;
09779192;Niederschönenfeld;576;341;235;541;35;24;64;114;59;17;42;559;11;;;
09779194;Nördlingen, Stadt;9,160;5,054;4,106;7,903;1,255;294;823;1,807;12,870;4,941;7,926;4,219;745;;;
09779196;Oberndorf a.Lech;959;570;389;907;52;37;91;237;608;108;499;851;46;;;
09779197;Oettingen i.Bay., Stadt;2,292;1,282;1,010;2,056;236;90;235;444;3,251;794;2,455;1,498;188;;;
09779198;Otting;348;192;156;328;20;20;49;57;37;24;13;324;10;;;
09779201;Rain, Stadt;4,221;2,343;1,878;3,457;762;158;406;759;4,438;1,658;2,778;2,563;263;;;
09779203;Reimlingen;554;298;256;508;46;29;44;144;147;32;115;522;32;;;
09779206;Rögling;283;161;122;273;10;14;26;77;41;20;21;263;11;;;
09779217;Tagmersheim;470;282;188;433;37;27;47;87;177;40;137;430;21;;;
09779218;Tapfheim;1,790;981;809;1,692;98;82;129;384;491;165;326;1,625;82;;;
09779224;Wallerstein, Markt;1,471;844;627;1,328;143;83;160;269;937;242;694;1,229;74;;;
09779226;Wechingen;643;367;276;623;20;36;61;139;237;60;177;583;36;;;
09779228;Wemding, Stadt;2,641;1,468;1,173;2,296;345;124;268;514;3,946;1,128;2,816;1,513;191;;;
09779231;Wolferstadt;472;267;205;458;14;39;55;79;79;37;42;435;23;;;
;;;;;;;;;;;;;;;;;
09779;Donau-Ries;59,334;33,494;25,840;52,823;6,502;2,559;5,397;11,856;62,714;44,634;18,050;14,700;3,646;;;
;;;;;;;;;;;;;;;;;
09780112;Altusried, Markt;4,278;2,297;1,981;4,068;209;179;368;942;2,113;880;1,233;3,397;267;;;
09780113;Balderschwang;156;70;86;78;78;3;19;17;229;124;104;32;19;;;
09780114;Betzigau;1,259;667;592;1,188;71;66;112;278;640;127;512;1,132;77;;;
09780115;Blaichach;2,716;1,473;1,243;2,333;383;104;263;578;2,134;511;1,623;2,205;135;;;
09780116;Bolsterlang;436;227;209;389;47;14;44;84;151;54;97;382;44;;;
09780117;Buchenberg, Markt;1,616;846;770;1,539;77;66;127;367;605;170;435;1,446;86;;;
09780118;Burgberg i.Allgäu;1,370;693;677;1,311;59;37;114;310;683;171;511;1,199;91;;;
09780119;Dietmannsried, Markt;3,521;1,862;1,659;3,340;180;148;288;722;2,809;518;2,289;3,003;200;;;
09780120;Durach;2,932;1,537;1,395;2,710;222;135;219;643;2,124;381;1,741;2,551;176;;;
09780121;Fischen i.Allgäu;1,251;673;578;1,086;165;47;116;239;914;279;633;972;133;;;
09780122;Haldenwang;1,624;841;783;1,558;66;51;116;399;1,513;235;1,277;1,389;84;;;
09780123;Bad Hindelang, Markt;2,194;1,158;1,036;1,777;417;87;243;395;2,033;969;1,061;1,225;243;;;
09780124;Immenstadt i.Allgäu, Stadt;5,845;3,082;2,763;5,022;822;219;478;1,258;10,691;2,530;8,145;3,315;453;;;
09780125;Lauben;1,503;814;689;1,376;127;62;149;324;1,263;140;1,122;1,363;68;;;
09780127;Missen-Wilhams;605;326;279;574;31;34;49;133;314;110;204;495;39;;;
09780128;Oy-Mittelberg;1,975;1,045;930;1,861;114;72;167;427;1,171;436;733;1,539;127;;;
09780131;Obermaiselstein;389;203;186;349;39;14;43;69;292;95;195;294;59;;;
09780132;Oberstaufen, Markt;3,160;1,599;1,561;2,489;671;99;314;688;2,989;1,708;1,276;1,452;382;;;
09780133;Oberstdorf, Markt;3,559;1,798;1,761;2,814;744;120;332;818;5,531;2,327;3,158;1,232;657;;;
09780134;Ofterschwang;873;447;426;756;117;29;108;153;860;240;618;633;61;;;
09780137;Rettenberg;1,983;1,059;924;1,895;88;102;166;384;725;302;423;1,681;110;;;
09780139;Sonthofen, Stadt;8,877;4,492;4,385;7,686;1,186;277;733;1,910;7,628;3,229;4,389;5,648;679;;;
09780140;Sulzberg, Markt;2,092;1,062;1,030;1,997;95;115;185;388;1,384;323;1,061;1,769;145;;;
09780143;Waltenhofen;3,988;2,121;1,867;3,670;315;156;390;835;2,463;710;1,753;3,278;262;;;
09780144;Weitnau, Markt;2,291;1,265;1,026;2,089;201;99;213;476;805;404;401;1,887;129;;;
09780145;Wertach, Markt;1,047;550;497;928;119;48;115;198;748;294;452;753;93;;;
09780146;Wiggensbach, Markt;2,112;1,111;1,001;2,001;111;66;171;414;2,092;505;1,583;1,607;148;;;
09780147;Wildpoldsried;1,071;558;513;1,028;43;49;97;208;854;140;713;931;70;;;
;;;;;;;;;;;;;;;;;
09780;Oberallgäu;64,723;33,876;30,847;57,912;6,797;2,498;5,739;13,657;55,758;39,636;16,018;25,086;5,037;;;
;;;;;;;;;;;;;;;;;
097;Schwaben;804,284;440,019;364,265;689,073;114,983;28,796;71,623;159,586;758,057;654,613;102,903;149,656;52,163;;;
;;;;;;;;;;;;;;;;;
09;Bayern;5,598,815;3,018,583;2,580,232;4,769,906;826,953;174,509;462,884;1,084,631;5,702,850;5,297,402;401,563;301,201;374,420;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
10041100;Saarbrücken, Landeshauptstadt;64,635;35,041;29,594;54,292;10,308;1,042;5,368;13,306;113,417;40,780;72,577;23,847;6,164;;;
10041511;Friedrichsthal, Stadt;3,974;2,146;1,828;3,734;240;87;313;877;2,178;445;1,731;3,529;198;;;
10041512;Großrosseln;2,985;1,601;1,384;2,826;159;66;261;677;1,093;333;759;2,652;144;;;
10041513;Heusweiler;6,770;3,548;3,222;6,414;353;136;442;1,552;3,261;855;2,403;5,915;395;;;
10041514;Kleinblittersdorf;4,136;2,143;1,993;3,950;184;80;305;1,120;2,975;702;2,270;3,434;285;;;
10041515;Püttlingen, Stadt;7,194;3,857;3,337;6,799;394;121;520;1,740;3,822;1,148;2,671;6,046;354;;;
10041516;Quierschied;5,060;2,693;2,367;4,749;311;105;397;1,161;1,977;473;1,504;4,587;229;;;
10041517;Riegelsberg;5,466;2,806;2,660;5,146;318;94;360;1,352;1,745;437;1,307;5,029;288;;;
10041518;Sulzbach/ Saar, Stadt;6,007;3,349;2,658;5,428;579;124;449;1,351;8,005;1,297;6,704;4,710;361;;;
10041519;Völklingen, Stadt;13,697;7,765;5,932;11,556;2,136;347;1,355;2,815;14,690;3,969;10,714;9,728;846;;;
;;;;;;;;;;;;;;;;;
10041;Regionalverband Saarbrücken;119,924;64,949;54,975;104,894;14,982;2,202;9,770;25,951;153,163;83,624;69,455;36,292;9,264;;;
;;;;;;;;;;;;;;;;;
10042111;Beckingen;5,642;3,104;2,538;5,271;367;130;439;1,310;1,744;733;1,011;4,909;241;;;
10042112;Losheim am See;6,088;3,305;2,783;5,646;440;150;480;1,477;4,339;1,835;2,503;4,253;389;;;
10042113;Merzig, Kreisstadt;10,103;5,203;4,900;9,186;916;233;889;2,412;11,358;4,249;7,102;5,854;799;;;
10042114;Mettlach;3,231;1,547;1,684;2,968;263;101;295;771;4,178;955;3,217;2,276;201;;;
10042115;Perl;1,278;600;678;1,065;212;57;136;291;1,669;509;1,159;769;179;;;
10042116;Wadern, Stadt;6,046;3,269;2,777;5,646;400;152;479;1,488;6,447;2,084;4,362;3,962;369;;;
10042117;Weiskirchen;2,321;1,282;1,039;2,144;177;62;197;581;1,924;558;1,363;1,763;133;;;
;;;;;;;;;;;;;;;;;
10042;Merzig-Wadern;34,709;18,310;16,399;31,926;2,775;885;2,915;8,330;31,659;19,402;12,238;15,307;2,311;;;
;;;;;;;;;;;;;;;;;
10043111;Eppelborn;6,432;3,442;2,990;6,215;216;109;486;1,528;2,564;1,018;1,546;5,414;327;;;
10043112;Illingen;5,986;3,173;2,813;5,772;211;121;469;1,411;3,871;1,122;2,747;4,863;421;;;
10043113;Merchweiler;3,687;1,935;1,752;3,535;152;76;293;823;1,381;383;998;3,304;191;;;
10043114;Neunkirchen, Kreisstadt;17,209;9,613;7,596;14,717;2,483;355;1,457;3,896;21,983;6,445;15,528;10,764;1,172;;;
10043115;Ottweiler, Stadt;5,576;2,949;2,627;5,284;289;114;411;1,354;4,180;957;3,221;4,618;269;;;
10043116;Schiffweiler;6,161;3,262;2,899;5,872;285;137;447;1,399;2,487;767;1,716;5,394;278;;;
